Benchmark,Price Tier,N,Annual Δ (No Ctrl),R² (No Ctrl),Annual Δ (With Ctrl),R² (With Ctrl),Δ Annual Δ,Δ R²
GPQA-D,<$1,81,13.387262161668971,0.13893434974175023,9.53052305940433,0.5503327335322634,-3.8567391022646405,0.4113983837905132
GPQA-D,<$10,120,18.297907427380963,0.23196403346874905,13.87266057045558,0.6421354808640011,-4.4252468569253836,0.410171447395252
GPQA-D,<$100,138,21.944160301866255,0.2899071663237517,14.216940710728942,0.7365500676906946,-7.727219591137313,0.44664290136694296
GPQA-D,All,138,21.944160301866255,0.2899071663237517,14.216940710728942,0.7365500676906946,-7.727219591137313,0.44664290136694296
SWE-Bench,<$100,9,19.887465113770418,0.26315214545026966,26.940095888669575,0.6736178012927424,7.052630774899157,0.41046565584247274
SWE-Bench,<$1000,19,18.85392393618818,0.12221156656363474,19.497915438301035,0.1726536812893743,0.6439915021128542,0.05044211472573956
SWE-Bench,All,21,20.31233440290081,0.12804986560370424,19.815823128956815,0.2695492202989551,-0.4965112739439945,0.14149935469525088
AIME,<$1,85,52.883138005278504,0.37791971112723344,43.17098623931028,0.6876266203547091,-9.712151765968223,0.3097069092274757
AIME,<$10,106,54.87311602632972,0.33448629226516047,46.86809402899076,0.7420179660586946,-8.005021997338957,0.40753167379353417
AIME,<$100,109,55.45795603111729,0.33953241236155285,46.7027583731343,0.7460548964945057,-8.75519765798299,0.4065224841329529
AIME,All,109,55.45795603111729,0.33953241236155285,46.7027583731343,0.7460548964945057,-8.75519765798299,0.4065224841329529
