Benchmark,Quantile,Q,N,Time Coef,Time SE,Time p-value,Annual Δ (% pts),Pseudo R²
GPQA-D,Q50,0.5,53,1.4205975685205452,0.23404960380794876,1.595204785844445e-07,29.272928713884852,0.36112076770335433
GPQA-D,Q75,0.75,53,1.7234681931727849,0.30375397180922026,6.619776416823709e-07,33.231095698542816,0.3322494856521493
GPQA-D,Q95,0.95,53,0.9544777292740037,,,21.499160469564828,0.31346866227339043
SWE-Bench,Q50,0.5,13,0.9044236026294773,1.2598231663798627,0.4877875548128662,21.285703421785527,0.2209984812736816
SWE-Bench,Q75,0.75,13,0.9914640302179549,,,23.055137869783735,0.12482258701342963
SWE-Bench,Q95,0.95,13,0.2678835405667854,,,6.666566839657108,0.16973183444690176
AIME,Q50,0.5,42,2.6435858184123804,0.8236922510799468,0.0026215827993731388,57.45376978128317,0.20803688548474064
AIME,Q75,0.75,42,3.8865442987586363,0.7740204864521719,1.106478390463078e-05,69.31312042958264,0.3012295261143594
AIME,Q95,0.95,42,2.6263380067841466,,,57.20108027050355,0.21985621222766294
