Benchmark,Quantile,Q,N,Time Coef,Time SE,Time p-value,Price Coef,Price SE,Price p-value,Annual Δ (% pts),Pseudo R²
GPQA-D,Q50,0.5,53,0.6526950336931208,0.12540070705187664,3.6499784377293003e-06,0.5838255863054513,0.047453698278318884,9.642351192538773e-17,15.38653509553096,0.6991676448035213
GPQA-D,Q75,0.75,53,1.149636128212812,0.14778141933466163,3.6548932601890194e-10,0.40792929152931734,0.04733554153045631,1.8705621933063038e-11,25.007162747032908,0.6709356741863783
GPQA-D,Q95,0.95,53,0.81926469152208,,,0.36379532535751435,,,18.859677743385163,0.6055486402403538
SWE-Bench,Q50,0.5,13,0.8241221694185707,0.9791914824557154,0.4196636074191751,0.4075399964315618,0.4697416647587134,0.4059603689027421,19.59559107746844,0.43373493731036816
SWE-Bench,Q75,0.75,13,0.8990278901456945,,,0.3082399562637114,,,21.173842743154196,0.38899757118229983
SWE-Bench,Q95,0.95,13,1.0416937876248547,,,0.4142489140639354,,,24.045517921670083,0.4091435012095186
AIME,Q50,0.5,42,2.352305105479319,0.4243477692017465,2.22957903017844e-06,1.4062568639452402,0.18219402927814313,2.2575080576020407e-09,52.805563351821036,0.6245036975878665
AIME,Q75,0.75,42,2.5749258610218533,0.38669530359028154,6.323061022972506e-08,1.5130380520329236,0.1638873338962639,2.3379596850277738e-11,56.43116939901192,0.6831824122086769
AIME,Q95,0.95,42,2.5994246836403434,,,1.6392600087884244,,,56.80117223776993,0.6967135887415352
